id,value
id_0,5.1749603989847435
id_1,18.306214253527898
id_2,20.491218094180535
id_3,11.523942869805353
id_4,26.61605675230614
id_5,20.53134808176123
id_6,21.906551018797387
id_7,31.73646874706883
id_8,13.391674055111721
id_9,64.45646650291955
id_10,20.264568836159434
id_11,15.358576077361217
id_12,68.58947276926726
id_13,48.42811374745718
id_14,18.70233382419321
id_15,10.188595737466713
id_16,30.740362859820454
id_17,71.13221776355108
id_18,-4.130517391262453
id_19,18.235694016428692
id_20,38.57892227500775
id_21,71.3115197253133
id_22,7.4103481626340715
id_23,18.71795533032141
id_24,14.937250260084575
id_25,36.71973669470531
id_26,17.961697005662728
id_27,75.78946287210537
id_28,12.309310248614466
id_29,56.2953517396496
id_30,25.113160865661477
id_31,4.610248674094039
id_32,2.4837705545150315
id_33,24.75942226132128
id_34,30.480280465591168
id_35,38.463930746426655
id_36,44.202310609330034
id_37,30.086836019866
id_38,40.473675015740085
id_39,29.22647990231738
id_40,5.606456054343934
id_41,38.66601607878961
id_42,34.610213431877206
id_43,48.38969750738481
id_44,14.757247666944178
id_45,34.466820110872085
id_46,27.48310687418436
id_47,12.000879378154044
id_48,21.37803615160378
id_49,28.54440309166328
id_50,20.165513818411586
id_51,10.796678149746496
id_52,22.171035755750147
id_53,53.446263109352266
id_54,12.219581121610023
id_55,43.300968455171535
id_56,32.18233510328541
id_57,22.567217514570793
id_58,56.73951416554705
id_59,20.74505294529545
id_60,15.028854557473275
id_61,39.85530159038513
id_62,12.97534068072828
id_63,51.74165959283006
id_64,18.783369632539866
id_65,12.348752842777701
id_66,15.633623653541914
id_67,-0.058871470685009086
id_68,41.50801107307597
id_69,31.548747530655998
id_70,18.60425115754707
id_71,37.476819724880684
id_72,56.520390657623025
id_73,6.5878771935219405
id_74,12.229339737435051
id_75,5.203696404134616
id_76,47.92737510380061
id_77,13.020705685594663
id_78,17.11030169390362
id_79,20.603234531002055
id_80,21.284481560784606
id_81,38.692935290511805
id_82,30.020716675725843
id_83,88.76740666723548
id_84,35.98470023966828
id_85,26.7569135534772
id_86,23.963516843564395
id_87,32.747242828083074
id_88,22.18904375531991
id_89,20.992158853626538
id_90,29.55599431664546
id_91,40.99216886651781
id_92,8.625117809911561
id_93,32.3214718088779
id_94,46.59804436536757
id_95,22.88407082672353
id_96,31.518129728251647
id_97,11.198233479766124
id_98,28.527436642529604
id_99,0.291150680089639
id_100,17.96696107953969
